# preset	mode	request
bugfix	code	현재 저장소의 주요 버그 후보를 찾아 우선순위와 수정안을 제시하고 가능한 항목은 직접 수정하라.
bugfix-system	code	현재 프로젝트를 코드리뷰해서 치명도 순(Critical/High/Medium/Low)으로 이슈를 정리하라. 각 이슈마다 파일 경로, 문제 원인, 최소 수정안, 검증 명령을 포함하라. 즉시 수정 가능한 항목 1개는 실제로 수정하고 변경 파일과 diff 요약을 제시하라. 마지막에 남은 리스크와 후속 테스트 계획을 짧게 정리하라.
fix-failing-tests	code	현재 저장소에서 실패하는 테스트를 실행해 원인을 진단하고, 최소 변경으로 테스트를 통과시키는 수정안을 적용하라.
add-tests	code	핵심 로직의 회귀를 막기 위한 단위 테스트를 추가하라. 경계값과 실패 케이스를 반드시 포함하라.
refactor-safe	code	현재 코드의 가독성과 유지보수성을 높이도록 안전한 리팩터링을 수행하라. 동작 변경은 금지하고 검증 결과를 함께 제시하라.
feature-mvp	code	요청 기능의 MVP를 구현하라. 범위를 명확히 제한하고 실행/검증 방법까지 포함하라.
api-design	code	요청 주제에 대한 REST API 설계를 제안하라. 엔드포인트, 요청/응답 스키마, 에러 규약, 인증/권한 모델을 포함하라.
code-review	code	현재 변경사항을 코드 리뷰하라. 심각도 순으로 버그/리스크/회귀 가능성을 정리하고 필요한 수정 제안을 제공하라.
perf-audit	code	성능 병목 가능 지점을 식별하고, 측정 기준과 개선 우선순위를 제시하라. 빠르게 적용 가능한 최적화부터 제안하라.
security-audit	code	코드와 설정의 보안 취약점을 점검하라. 입력 검증, 인증/인가, 비밀정보 노출, 의존성 리스크를 포함하라.
release-checklist	doc	배포 전 체크리스트 문서를 작성하라. 환경변수, 마이그레이션, 롤백, 모니터링, 커뮤니케이션 항목을 포함하라.
research-daily	research	오늘 기준으로 관련 도메인의 최신 이슈 5개를 조사하고 요약하라.
competitor-analysis	research	요청 제품군의 경쟁사 5개를 비교 분석하라. 포지셔닝, 가격, 핵심 기능, 강점/약점을 표로 정리하라.
tech-decision	research	요청 기술 선택안을 비교하라. 비용, 성능, 확장성, 운영 난이도, 리스크 기준으로 추천안을 제시하라.
trend-scan	research	요청 키워드의 최근 트렌드를 조사하라. 신호 강도, 근거, 향후 3개월 관찰 포인트를 제시하라.
source-brief	crawl	주어진 URL을 크롤링하고 핵심 사실/수치/날짜를 표로 정리하라.
site-map	crawl	주어진 사이트를 크롤링해 주요 페이지 구조와 핵심 콘텐츠를 맵 형태로 요약하라.
pricing-crawl	crawl	주어진 서비스의 가격/플랜 정보를 크롤링해 표로 정리하고, 변경 가능성이 있는 항목을 표시하라.
doc-plan	doc	요청 주제에 대한 실행 계획 문서를 작성하라. 목표, 범위, 일정, 리스크를 포함하라.
prd	doc	요청 기능에 대한 PRD를 작성하라. 문제정의, 목표지표, 사용자 시나리오, 요구사항, 비요구사항, 수용기준을 포함하라.
incident-report	doc	장애 보고서 초안을 작성하라. 타임라인, 영향 범위, 근본 원인, 복구 조치, 재발 방지 대책을 포함하라.
meeting-summary	doc	회의 내용을 실행 중심으로 요약하라. 결정사항, 액션아이템, 담당자, 마감일을 명확히 정리하라.
content-launch	content	신규 제품/기능 런칭 콘텐츠를 작성하라. 제목 3개와 본문 1개를 제공하라.
blog-post	content	요청 주제로 블로그 글을 작성하라. 독자 문제를 먼저 정의하고 실전 예시 중심으로 구성하라.
sns-pack	content	동일 주제로 SNS용 짧은 포스트 5개를 작성하라. 플랫폼별 톤 차이를 반영하라.
landing-copy	content	랜딩페이지 카피를 작성하라. Hero 문구, 가치 제안, 핵심 기능 3개, CTA 3개를 포함하라.
email-campaign	content	요청 캠페인용 이메일 3종(공지/가치설명/리마인드)을 작성하라. 제목 A/B 테스트안 포함.
